Projects, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Plan Type (Project), Aggregation (Project), Data Storage (Project), Formula (Project), Formula Description (Project), Plan Type (Plus), Aggregation (Plus), Data Storage (Plus), Formula (Plus), Solve Order (Plus), Formula Description (Plus), A_Customer, A_ProjectType, A_StartYear, A_StartMonth, A_IsClosed, A_Entity, A_BU, Operation
WILPHSP1807138600,AllProject,Y18欧莱雅7月SID活动-男士,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,39205f69-63e5-47e5-b242-a63cbee78401,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807152900,AllProject,Y18玛氏淡季P8 华润系统小清新活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,918f6978-1c1f-4e25-9de0-73d63000c6b5,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807153100,AllProject,Y18玛氏淡季P8WM购物节MM路演活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4af01677-e1a1-4fe5-ae63-e5fdccbcfcab,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808153000,AllProject,Y18玛氏淡季CVD活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0b57e8bc-b054-482e-bb2a-c0cb9da91328,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WILPHSP1807138700,AllProject,Y18欧莱雅7月屈臣氏活动-洗护,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,4b1ac705-8ad7-4f5b-a9f1-6ca777ab2463,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WILPHSP1807138500,AllProject,Y18欧莱雅7月SID活动-洗护,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,1ddd21a9-b17c-405c-9dcc-f246142e8402,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIKBCSP1806142500,AllProject,金佰利2018年7月短促管理项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,deca178c-2c9c-4669-afd6-b8729250bde3,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIKBCOT1807143000,AllProject,金佰利2018年7-9月湖南共享PG管理,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,fcb28ccd-8e90-4683-915a-1cf865a90ca6,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIPEHSP1806141000,AllProject,2018年7月百事南区桂格免品试吃活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,ebae9e08-e282-42bf-9ca7-e5ca27888f4a,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIPEHSP1807144200,AllProject,2018年7-8月百事南区乐事免品试吃活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,fd3fe013-9598-46b8-8bd6-7466123368b1,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
